Material,Diameter_Inch,Roughness_mm,Pressure_PSI,Flow_LPM,Leaked_Flag
PVC,0.75,0.0025,30.01,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.01,23.9,0
PVC,0.75,0.0025,30.0,24.0,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.02,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,30.0,24.0,0
PVC,0.75,0.0025,29.99,24.0,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,24.0,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,30.0,24.0,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.01,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.01,23.9,0
PVC,0.75,0.0025,30.0,24.0,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,30.01,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,24.0,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.01,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,24.0,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.01,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,24.0,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.01,23.9,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,30.01,23.9,0
PVC,0.75,0.0025,30.01,24.0,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,30.0,24.0,0
PVC,0.75,0.0025,29.99,24.0,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,24.0,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,24.0,0
PVC,0.75,0.0025,30.0,24.0,0
PVC,0.75,0.0025,30.01,24.0,0
PVC,0.75,0.0025,30.01,23.9,0
PVC,0.75,0.0025,30.01,24.0,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,24.0,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.01,23.9,0
PVC,0.75,0.0025,30.01,23.9,0
PVC,0.75,0.0025,30.0,24.0,0
PVC,0.75,0.0025,30.0,24.0,0
PVC,0.75,0.0025,30.0,24.0,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,30.01,24.0,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.01,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,30.01,24.0,0
PVC,0.75,0.0025,30.0,24.0,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,24.0,0
PVC,0.75,0.0025,29.99,24.0,0
PVC,0.75,0.0025,29.99,24.0,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,24.0,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,24.0,0
PVC,0.75,0.0025,30.01,24.0,0
PVC,0.75,0.0025,30.01,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,24.0,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,24.0,0
PVC,0.75,0.0025,30.0,24.0,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,30.01,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.01,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,24.0,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,24.0,0
PVC,0.75,0.0025,30.0,24.0,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,29.99,24.0,0
PVC,0.75,0.0025,29.98,23.9,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,30.01,23.9,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,30.01,24.0,0
PVC,0.75,0.0025,30.01,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.01,23.9,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,24.0,0
PVC,0.75,0.0025,30.01,24.0,0
PVC,0.75,0.0025,30.0,24.0,0
PVC,0.75,0.0025,30.01,24.0,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,24.0,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.01,23.9,0
PVC,0.75,0.0025,30.0,24.0,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.01,24.0,0
PVC,0.75,0.0025,30.01,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,24.0,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,29.99,24.0,0
